geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Bennett town, Colorado",8,,6090,,,10806090,63750,12074
"Commerce City city, Colorado",8,,16495,,,10816495,77065,3350
"Federal Heights city, Colorado",8,,26270,,,10826270,45395,4581
"Stonegate CDP, Colorado",8,,74080,,,10874080,128323,7160
"Rangely town, Colorado",8,,62880,,,10862880,62500,14451
"Eldorado Springs CDP, Colorado",8,,23630,,,10823630,101389,46774
"Cascade-Chipita Park CDP, Colorado",8,,12325,,,10812325,47569,15520
"Ken Caryl CDP, Colorado",8,,40377,,,10840377,93856,4385
"Aurora city, Colorado",8,,4000,,,10804000,65100,950
"Fairmount CDP, Colorado",8,,25550,,,10825550,111148,11866
"Florissant CDP, Colorado",8,,27095,,,10827095,,
"Floyd Hill CDP, Colorado",8,,27175,,,10827175,112269,18670
"Fulford CDP, Colorado",8,,28830,,,10828830,,
"Garfield CDP, Colorado",8,,29295,,,10829295,,
"Gerrard CDP, Colorado",8,,29845,,,10829845,,
"Glendale CDP, Colorado",8,,30350,,,10830350,,
"Goldfield CDP, Colorado",8,,30890,,,10830890,,
"Guffey CDP, Colorado",8,,33420,,,10833420,,
"Hasty CDP, Colorado",8,,34685,,,10834685,28750,6121
"Heeney CDP, Colorado",8,,35400,,,10835400,,
"Hidden Lake CDP, Colorado",8,,35860,,,10835860,,
"Hoehne CDP, Colorado",8,,36940,,,10836940,49000,20559
"Holly Hills CDP, Colorado",8,,37220,,,10837220,132955,20071
"Howard CDP, Colorado",8,,37655,,,10837655,77981,38438
"Idalia CDP, Colorado",8,,38425,,,10838425,,
"Sherrelwood CDP, Colorado",8,,69810,,,10869810,62169,6867
"New Castle town, Colorado",8,,53395,,,10853395,91659,17510
"Nucla town, Colorado",8,,54935,,,10854935,34375,8418
"Ignacio town, Colorado",8,,38535,,,10838535,51336,3261
"Orchard City town, Colorado",8,,55980,,,10855980,50781,13523
"De Beque town, Colorado",8,,19355,,,10819355,65750,9126
"Berkley CDP, Colorado",8,,6172,,,10806172,61788,4433
"Strasburg CDP, Colorado",8,,74375,,,10874375,77527,8015
"Glenwood Springs city, Colorado",8,,30780,,,10830780,66693,6526
"Starkville town, Colorado",8,,73715,,,10873715,,
"The Pinery CDP, Colorado",8,,77235,,,10877235,127857,6078
"Westcreek CDP, Colorado",8,,83500,,,10883500,48813,27481
"Clifton CDP, Colorado",8,,15165,,,10815165,43452,4881
"Battlement Mesa CDP, Colorado",8,,5120,,,10805120,68188,8718
"Highlands Ranch CDP, Colorado",8,,36410,,,10836410,125454,2757
"Roxborough Park CDP, Colorado",8,,66197,,,10866197,134576,10361
"Applewood CDP, Colorado",8,,2575,,,10802575,106962,5505
"Lakeside town, Colorado",8,,42495,,,10842495,,
"Littleton city, Colorado",8,,45255,,,10845255,76015,4092
"Sterling city, Colorado",8,,73935,,,10873935,45647,5236
"Mountain Village town, Colorado",8,,52550,,,10852550,53125,12016
"Woodland Park city, Colorado",8,,86090,,,10886090,77912,10053
"Walden town, Colorado",8,,82130,,,10882130,48250,8460
"North Washington CDP, Colorado",8,,54750,,,10854750,36547,7804
"Acres Green CDP, Colorado",8,,320,,,10800320,99899,8646
"Perry Park CDP, Colorado",8,,58592,,,10858592,135179,20705
"Cedaredge town, Colorado",8,,12635,,,10812635,36078,5788
"Delta city, Colorado",8,,19850,,,10819850,41415,3999
"Hotchkiss town, Colorado",8,,37545,,,10837545,34375,7385
"Burlington city, Colorado",8,,10600,,,10810600,49316,8651
"Seibert town, Colorado",8,,69040,,,10869040,28750,23213
"Cokedale town, Colorado",8,,15550,,,10815550,41250,34032
"Palisade town, Colorado",8,,56970,,,10856970,34779,4460
"Durango city, Colorado",8,,22035,,,10822035,66160,3909
"Orchard Mesa CDP, Colorado",8,,56035,,,10856035,50227,12664
"Stratton town, Colorado",8,,74485,,,10874485,43750,16638
"Vona town, Colorado",8,,81690,,,10881690,51563,22977
"Aguilar town, Colorado",8,,760,,,10800760,34875,8105
"Trinidad city, Colorado",8,,78610,,,10878610,37196,4873
"Alma town, Colorado",8,,1530,,,10801530,31964,20464
"Sheridan city, Colorado",8,,69645,,,10869645,44335,7623
"Rocky Ford city, Colorado",8,,65190,,,10865190,29551,4146
"Loghill Village CDP, Colorado",8,,45680,,,10845680,94375,16652
"Castle Pines city, Colorado",8,,12387,,,10812387,163819,12133
"Idledale CDP, Colorado",8,,38480,,,10838480,120352,48209
