geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Block Group 1, Census Tract 94.07, Adams County, Colorado",8,1,,9407,1,1080010094071,58278,14734
"Block Group 1, Census Tract 94.08, Adams County, Colorado",8,1,,9408,1,1080010094081,107093,8166
"Block Group 1, Census Tract 96.04, Adams County, Colorado",8,1,,9604,1,1080010096041,58326,8050
"Block Group 3, Census Tract 83.08, Adams County, Colorado",8,1,,8308,3,1080010083083,30995,4993
"Block Group 1, Census Tract 85.08, Adams County, Colorado",8,1,,8508,1,1080010085081,82017,7147
"Block Group 1, Census Tract 88.02, Adams County, Colorado",8,1,,8802,1,1080010088021,44971,6662
"Block Group 2, Census Tract 91.04, Adams County, Colorado",8,1,,9104,2,1080010091042,82683,15035
"Block Group 2, Census Tract 93.06, Adams County, Colorado",8,1,,9306,2,1080010093062,57639,18044
"Block Group 2, Census Tract 94.10, Adams County, Colorado",8,1,,9410,2,1080010094102,116528,16830
"Block Group 4, Census Tract 93.10, Adams County, Colorado",8,1,,9310,4,1080010093104,52674,13819
"Block Group 1, Census Tract 93.10, Adams County, Colorado",8,1,,9310,1,1080010093101,64788,17585
"Block Group 2, Census Tract 96.08, Adams County, Colorado",8,1,,9608,2,1080010096082,86875,14770
"Block Group 2, Census Tract 84.02, Adams County, Colorado",8,1,,8402,2,1080010084022,77056,9593
"Block Group 5, Census Tract 83.53, Adams County, Colorado",8,1,,8353,5,1080010083535,83264,53585
"Block Group 1, Census Tract 96.06, Adams County, Colorado",8,1,,9606,1,1080010096061,39355,11717
"Block Group 4, Census Tract 9603, Alamosa County, Colorado",8,3,,960300,4,1080039603004,25859,14918
"Block Group 1, Census Tract 9603, Alamosa County, Colorado",8,3,,960300,1,1080039603001,27219,6596
"Block Group 5, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,5,1080039602005,34677,22483
"Block Group 6, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,6,1080039602006,26122,16083
"Block Group 3, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,3,1080039602003,77109,56972
"Block Group 1, Census Tract 9600, Alamosa County, Colorado",8,3,,960000,1,1080039600001,40179,22062
"Block Group 3, Census Tract 9601, Alamosa County, Colorado",8,3,,960100,3,1080039601003,55658,8953
"Block Group 1, Census Tract 9601, Alamosa County, Colorado",8,3,,960100,1,1080039601001,62450,6332
"Block Group 2, Census Tract 9603, Alamosa County, Colorado",8,3,,960300,2,1080039603002,28980,8642
"Block Group 2, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,2,1080039602002,40293,8765
"Block Group 3, Census Tract 9603, Alamosa County, Colorado",8,3,,960300,3,1080039603003,34194,11879
"Block Group 4, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,4,1080039602004,54196,6736
"Block Group 1, Census Tract 9602, Alamosa County, Colorado",8,3,,960200,1,1080039602001,65865,18812
"Block Group 2, Census Tract 9600, Alamosa County, Colorado",8,3,,960000,2,1080039600002,56705,12687
"Block Group 2, Census Tract 9601, Alamosa County, Colorado",8,3,,960100,2,1080039601002,35893,3263
"Block Group 4, Census Tract 816, Arapahoe County, Colorado",8,5,,81600,4,1080050816004,74405,19307
"Block Group 2, Census Tract 807, Arapahoe County, Colorado",8,5,,80700,2,1080050807002,35163,13870
